powder_id,property,best_estimate,range_low,range_high,units,specificity,source_url,notes
white-rice-flour,bulk_density,0.68,0.63,0.79,g/mL,product-specific,https://www.bobsredmill.com/articles/bobs-red-mill-flour-weight-chart,"BRM lists 160 g per US cup (236.6 mL) spoon-and-level = 0.676 g/mL; literature aerated range 0.63-0.79 for rice flours"
white-rice-flour,tapped_density,0.80,0.76,1.03,g/mL,material-generic,https://link.springer.com/article/10.1007/s11694-016-9451-8,"J Food Meas Charact 2016: commercial rice flour tapped 0.762; range across mills 0.77-1.03 (100+ taps)"
white-rice-flour,hausner_ratio,1.18,1.13,1.50,-,material-generic,https://link.springer.com/article/10.1007/s11694-016-9451-8,"Commercial rice flour HR 1.183 Carr 15.5% (range 11.3-33.1) = fair flow; mill type and moisture shift values strongly"
white-rice-flour,d50,100,60,190,um,material-generic,https://pmc.ncbi.nlm.nih.gov/articles/PMC12840129/,"Semi-dry-milled white rice flour d50 68.6-97.2; other commercial rice flours D(0.5) 60.2-189.4 (PMC10341041); BRM is stone-ground fine"
white-rice-flour,angle_of_repose,45,38.1,52.8,deg,material-generic,https://link.springer.com/article/10.1007/s11694-016-9451-8,"38.1-52.8 across grinding methods; one fixed-funnel measurement of commercial rice flour gave 66.6 - AoR is strongly method-dependent"
white-rice-flour,true_density,1.45,1.43,1.52,g/cm3,material-generic,https://www.bioinfopublication.org/include/download.php?id=BIA0003329,"Milled rice kernel 1.43 by toluene displacement; air-pycnometer milled rice 1.46; pure starch approx 1.5"
white-rice-flour,equilibrium_moisture,11.7,10.3,13.1,wt%,material-generic,https://www.uaex.uada.edu/farm-ranch/crops-commercial-horticulture/Grain_drying_and_storage/rice_drying_and_storage.aspx,"Long-grain rice EMC at 70 F: 10.3/11.7/13.1% at 40/50/60% RH; hygroscopicity moderate"
white-rice-flour,shape,"irregular angular flour particles; polygonal starch granules 2-7 um",,,text,material-generic,https://pmc.ncbi.nlm.nih.gov/articles/PMC10743165/,"Aggregates of compound polygonal rice starch granules plus protein; BRM confirms stone ground"
brown-rice-flour,bulk_density,0.68,0.61,0.79,g/mL,product-specific,https://www.bobsredmill.com/articles/bobs-red-mill-flour-weight-chart,"BRM: 160 g/cup (0.676 g/mL) same as white; raw brown rice flour 0.61-0.62 g/mL in germination study"
brown-rice-flour,tapped_density,0.82,0.73,0.95,g/mL,rough-estimate,https://link.springer.com/article/10.1007/s11694-016-9451-8,"No published BRF tapped value found; estimated as loose x rice-flour Hausner 1.15-1.3"
brown-rice-flour,hausner_ratio,1.2,1.13,1.4,-,material-generic,https://link.springer.com/article/10.1007/s11694-016-9451-8,"Taken from rice-flour class (1.13-1.50); bran raises cohesion slightly vs white. Carr approx 17% (11-29)"
brown-rice-flour,d50,130,60,250,um,rough-estimate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10341041/,"No BRF-specific d50 published; rice flours span D(0.5) 60-190 um; whole-grain stone-ground flours trend coarser (bran); BRM advertises very fine setting"
